iter	Passed	Remaining
383	477	765
384	478	763
385	479	762
386	480	761
387	481	759
388	482	758
389	484	758
390	486	757
391	487	756
392	488	755
393	490	753
394	491	752
395	492	750
396	493	748
397	494	747
398	495	745
399	496	744
400	497	742
401	498	741
402	500	741
403	501	739
404	502	738
405	503	737
406	504	735
407	505	734
408	506	732
409	507	730
410	508	729
411	509	727
412	510	725
413	511	723
414	512	722
415	513	720
416	516	721
417	518	721
418	519	720
419	521	720
420	522	718
421	523	717
422	524	715
423	525	714
424	526	712
425	527	710
426	528	709
427	529	707
428	530	706
429	531	704
430	532	703
431	533	701
432	534	699
433	535	698
434	536	696
435	537	695
436	539	694
437	540	693
438	541	691
439	542	690
440	543	688
441	544	687
442	545	685
443	546	684
444	547	682
445	548	681
446	549	679
447	550	678
448	551	676
449	552	675
450	553	674
451	554	672
452	555	670
453	556	669
454	557	667
455	558	666
456	559	664
457	560	663
458	561	661
459	562	660
460	563	659
461	564	657
462	565	655
463	566	654
464	567	653
465	568	651
466	569	650
467	570	648
468	571	647
469	572	645
470	573	644
471	574	642
472	575	641
473	576	639
474	577	638
475	578	636
476	579	635
477	580	633
478	581	632
479	583	631
480	584	630
481	585	628
482	586	627
483	587	626
484	588	624
485	589	623
486	590	621
487	591	620
488	592	619
489	593	617
490	594	616
491	595	615
492	596	613
493	598	612
494	598	611
495	599	609
496	600	608
497	602	606
498	603	605
499	604	604
500	605	602
501	605	601
502	606	599
503	608	598
504	609	597
505	610	596
506	612	595
507	613	593
508	614	592
509	615	590
510	616	589
511	617	588
512	618	586
513	619	585
514	620	584
515	621	582
516	622	581
517	623	580
518	624	578
519	625	577
520	627	576
521	628	575
522	629	573
523	630	572
524	631	571
525	632	569
526	633	568
527	634	567
528	635	565
529	636	564
530	637	562
531	638	561
532	639	560
533	641	559
534	642	558
535	643	556
536	644	555
537	645	553
538	645	552
539	647	551
540	648	549
541	649	548
542	650	547
543	651	545
544	652	544
545	653	543
546	654	542
547	655	540
548	656	539
549	657	538
550	658	536
551	659	535
552	660	534
553	661	532
554	662	531
555	663	530
556	664	528
557	666	527
558	667	526
559	668	525
560	670	524
561	671	523
562	673	522
563	674	521
564	675	519
565	676	518
566	677	517
567	677	515
568	678	514
569	679	512
570	680	511
571	681	510
572	682	508
573	683	507
574	685	506
575	687	505
576	688	504
577	689	503
578	690	501
579	691	500
580	691	499
581	692	497
582	693	496
583	694	494
584	695	493
585	696	492
586	697	490
587	698	489
588	699	488
589	701	487
590	702	486
591	703	484
592	704	483
593	705	482
594	706	480
595	707	479
596	707	477
597	708	476
598	709	475
599	710	473
600	711	472
601	712	471
602	713	469
603	714	468
604	715	467
605	717	466
606	718	465
607	719	463
608	720	462
609	721	461
610	722	459
611	723	458
612	723	457
613	724	455
614	725	454
615	726	453
616	727	451
617	728	450
618	729	449
619	730	447
620	732	446
621	733	445
622	734	444
623	735	442
624	735	441
625	736	440
626	737	438
627	738	437
628	739	436
629	740	434
630	741	433
631	742	432
632	744	431
633	745	430
634	746	429
635	747	427
636	748	426
637	749	425
638	750	424
639	751	422
640	752	421
641	753	420
642	754	418
643	755	417
644	756	416
645	757	414
646	758	413
647	759	412
648	760	411
649	761	410
650	762	408
651	763	407
652	764	406
653	765	405
654	766	403
655	767	402
656	768	401
657	769	399
658	770	398
659	771	397
660	772	396
661	774	395
662	775	394
663	776	392
664	777	391
665	778	390
666	779	389
667	780	388
668	781	386
669	782	385
670	784	384
671	785	383
672	786	381
673	787	380
674	788	379
675	789	378
676	790	377
677	791	375
678	792	374
679	793	373
680	795	372
681	796	371
682	797	370
683	798	368
684	799	367
685	800	366
686	801	365
687	802	363
688	803	362
689	804	361
690	805	360
691	806	359
692	807	357
693	809	356
694	810	355
695	811	354
696	812	353
697	813	352
698	814	350
699	815	349
700	816	348
701	817	347
702	818	345
703	819	344
704	820	343
705	821	342
706	822	340
707	823	339
708	824	338
709	826	337
710	827	336
711	828	335
712	829	333
713	830	332
714	831	331
715	832	330
716	833	329
717	834	327
718	835	326
719	836	325
720	838	324
721	839	323
722	840	321
723	841	320
724	842	319
725	843	318
726	844	317
727	845	315
728	846	314
729	847	313
730	849	312
731	850	311
732	851	310
733	852	308
734	853	307
735	854	306
736	855	305
737	856	304
738	857	302
739	859	301
740	860	300
741	861	299
742	862	298
743	864	297
744	865	296
745	866	295
746	867	293
747	868	292
748	869	291
749	870	290
750	871	288
751	872	287
752	873	286
753	874	285
754	875	284
755	876	282
756	877	281
757	878	280
758	879	279
759	880	278
760	881	276
761	882	275
762	883	274
763	884	273
764	885	272
765	886	270
766	887	269
767	888	268
768	889	267
769	890	266
770	891	264
771	892	263
772	893	262
773	894	261
774	895	260
775	896	258
776	897	257
777	898	256
778	899	255
779	900	254
780	901	252
781	902	251
782	903	250
783	904	249
784	905	248
785	907	246
786	908	245
787	909	244
788	910	243
789	910	242
790	911	240
791	912	239
792	913	238
793	914	237
794	915	236
795	916	234
796	917	233
797	918	232
798	919	231
799	920	230
800	922	229
801	923	228
802	924	226
803	925	225
804	926	224
805	927	223
806	928	222
807	929	220
808	930	219
809	931	218
810	932	217
811	933	216
812	934	214
813	935	213
814	937	212
815	938	211
816	939	210
817	940	209
818	941	208
819	942	206
820	943	205
821	944	204
822	945	203
823	946	202
824	947	200
825	948	199
826	949	198
827	950	197
828	951	196
829	953	195
830	954	194
831	955	193
832	957	191
833	958	190
834	959	189
835	960	188
836	961	187
837	962	186
838	963	184
839	964	183
840	966	182
841	967	181
842	968	180
843	969	179
844	972	178
845	973	177
846	974	176
847	976	174
848	977	173
849	978	172
850	979	171
851	980	170
852	981	169
853	983	168
854	984	166
855	985	165
856	987	164
857	989	163
858	990	162
859	991	161
860	992	160
861	993	159
862	994	157
863	996	156
864	997	155
865	999	154
866	1000	153
867	1001	152
868	1002	151
869	1003	149
870	1004	148
871	1005	147
872	1006	146
873	1008	145
874	1009	144
875	1010	142
876	1011	141
877	1012	140
878	1013	139
879	1015	138
880	1016	137
881	1017	136
882	1018	134
883	1019	133
884	1020	132
885	1021	131
886	1022	130
887	1023	129
888	1024	127
889	1025	126
890	1026	125
891	1027	124
892	1028	123
893	1029	122
894	1031	120
895	1032	119
896	1033	118
897	1034	117
898	1035	116
899	1037	115
900	1038	114
901	1039	112
902	1040	111
903	1041	110
904	1042	109
905	1043	108
906	1044	107
907	1045	105
908	1046	104
909	1047	103
910	1048	102
911	1049	101
912	1050	100
913	1051	98
914	1052	97
915	1053	96
916	1055	95
917	1056	94
918	1057	93
919	1058	92
920	1059	90
921	1061	89
922	1062	88
923	1063	87
924	1064	86
925	1065	85
926	1066	83
927	1067	82
928	1068	81
929	1069	80
930	1070	79
931	1071	78
932	1072	77
933	1073	75
934	1074	74
935	1076	73
936	1077	72
937	1079	71
938	1080	70
939	1081	69
940	1082	67
941	1083	66
942	1083	65
943	1084	64
944	1085	63
945	1086	62
946	1087	60
947	1088	59
948	1089	58
949	1090	57
950	1092	56
951	1093	55
952	1094	53
953	1095	52
954	1096	51
955	1097	50
956	1098	49
957	1099	48
958	1100	47
959	1101	45
960	1101	44
961	1102	43
962	1104	42
963	1105	41
964	1106	40
965	1108	38
966	1109	37
967	1109	36
968	1110	35
969	1111	34
970	1112	33
971	1113	32
972	1114	30
973	1115	29
974	1116	28
975	1117	27
976	1118	26
977	1119	25
978	1120	24
979	1121	22
980	1122	21
981	1123	20
982	1124	19
983	1125	18
984	1126	17
985	1127	16
986	1128	14
987	1129	13
988	1130	12
989	1131	11
990	1132	10
991	1133	9
992	1134	7
993	1135	6
994	1136	5
995	1137	4
996	1138	3
997	1139	2
998	1140	1
999	1141	0
