iter	RMSE
0	2.634070349
1	2.595367986
2	2.552894653
3	2.53357676
4	2.493588213
5	2.467752995
6	2.438915654
7	2.419291598
8	2.399833657
9	2.376413436
10	2.354393221
11	2.336897138
12	2.326881924
13	2.315016577
14	2.298696246
15	2.283423599
16	2.268473712
17	2.257386721
18	2.249626621
19	2.233653969
20	2.221121474
21	2.211381595
22	2.203459634
23	2.195224937
24	2.187240522
25	2.179379134
26	2.174285077
27	2.166133716
28	2.154293099
29	2.145611128
30	2.13844137
31	2.131668534
32	2.124373793
33	2.117061739
34	2.106796662
35	2.101153195
36	2.093511773
37	2.082102473
38	2.071936605
39	2.061732398
40	2.056229869
41	2.049602089
42	2.044187632
43	2.035142782
44	2.031533766
45	2.022523518
46	2.017190646
47	2.009849195
48	2.004887772
49	1.998062785
50	1.993206911
51	1.987313669
52	1.982519006
53	1.97810216
54	1.972859692
55	1.962662923
56	1.958371056
57	1.950380684
58	1.943628259
59	1.939317054
60	1.92951639
61	1.924029593
62	1.915774954
63	1.911081511
64	1.904305387
65	1.898934804
66	1.893639985
67	1.883367283
68	1.878186628
69	1.86976867
70	1.860219271
71	1.8503679
72	1.847604842
73	1.84446231
74	1.841754224
75	1.839437477
76	1.834671642
77	1.830190617
78	1.824122323
79	1.818279253
80	1.814078155
81	1.809785227
82	1.806068192
83	1.801358601
84	1.793474281
85	1.787387229
86	1.78600291
87	1.782427584
88	1.781822541
89	1.773505155
90	1.768295894
91	1.760302439
92	1.758584986
93	1.757557286
94	1.757086206
95	1.751340589
96	1.74987673
97	1.7447326
98	1.744337565
99	1.743493663
100	1.742122192
101	1.736690705
102	1.730901375
103	1.73009402
104	1.723801096
105	1.72328973
106	1.722914807
107	1.717370654
108	1.711945993
109	1.707758978
110	1.703437241
111	1.691900915
112	1.684361185
113	1.67987991
114	1.669418215
115	1.665518247
116	1.665026772
117	1.664359113
118	1.661736404
119	1.654713051
120	1.653424937
121	1.646658902
122	1.636466953
123	1.633713607
124	1.629362241
125	1.629085118
126	1.621751049
127	1.615158856
128	1.613666188
129	1.611256859
130	1.606772985
131	1.602651158
132	1.598003137
133	1.596953799
134	1.588183057
135	1.583965905
136	1.579624038
137	1.573646843
138	1.56726146
139	1.563988977
140	1.563029534
141	1.558858672
142	1.555258325
143	1.554515037
144	1.552681012
145	1.55244146
146	1.54673122
147	1.541252194
148	1.536897349
149	1.530160654
150	1.523708572
151	1.517623003
152	1.514711766
153	1.507234384
154	1.499600492
155	1.494810764
156	1.486642764
157	1.482921563
158	1.478410044
159	1.47594863
160	1.471994818
161	1.466885616
162	1.463840386
163	1.463346127
164	1.461969277
165	1.456364609
166	1.450833848
167	1.449512905
168	1.444969268
169	1.44050497
170	1.43857527
171	1.433085434
172	1.425861913
173	1.420860072
174	1.417663068
175	1.411613314
176	1.407858547
177	1.406932796
178	1.40185289
179	1.396226235
180	1.391719258
181	1.38841671
182	1.38374185
183	1.381303266
184	1.377511222
185	1.375719373
186	1.373470903
187	1.370080749
188	1.363513852
189	1.359712591
190	1.353657344
191	1.348754568
192	1.340602896
193	1.334951487
194	1.329273842
195	1.325345983
196	1.322825413
197	1.319907438
198	1.314924045
199	1.310687869
200	1.309923325
201	1.304859417
202	1.304645181
203	1.302407308
204	1.301143444
205	1.300309152
206	1.297854986
207	1.294777216
208	1.292061154
209	1.289446089
210	1.288952467
211	1.28403308
212	1.27963027
213	1.274851475
214	1.272936924
215	1.27215889
216	1.271462569
217	1.26313941
218	1.261541144
219	1.255944257
220	1.254663353
221	1.249027067
222	1.24442976
223	1.242778984
224	1.242404587
225	1.2416724
226	1.237462627
227	1.232548558
228	1.229443265
229	1.223759639
230	1.222418627
231	1.219244859
232	1.21669729
233	1.215457826
234	1.213188286
235	1.210230875
236	1.20995114
237	1.205803328
238	1.20235498
239	1.197877319
240	1.194231398
241	1.188019707
242	1.183323105
243	1.17966549
244	1.176123147
245	1.174221417
246	1.17117968
247	1.168698473
248	1.166568684
249	1.164152523
250	1.160858745
251	1.156214459
252	1.151835615
253	1.147297988
254	1.142922567
255	1.141915978
256	1.138103777
257	1.134472476
258	1.13381554
259	1.132557998
260	1.129422633
261	1.128430814
262	1.124230825
263	1.122734822
264	1.121189981
265	1.120695442
266	1.118915527
267	1.116731555
268	1.116268677
269	1.11379226
270	1.108611384
271	1.107285837
272	1.104653776
273	1.099892819
274	1.097076999
275	1.09671166
276	1.092680341
277	1.090175948
278	1.089342335
279	1.086887072
280	1.085040072
281	1.083412436
282	1.081170943
283	1.077286405
284	1.075495141
285	1.073095976
286	1.072550984
287	1.069428847
288	1.065931053
289	1.062697278
290	1.059240253
291	1.053144174
292	1.051782092
293	1.047071111
294	1.046503252
295	1.043911455
296	1.042504186
297	1.040182485
298	1.037340729
299	1.035312125
300	1.031746394
301	1.027255499
302	1.027002239
303	1.025542694
304	1.022344823
305	1.019164104
306	1.017754221
307	1.013113344
308	1.012132577
309	1.01022556
310	1.00840603
311	1.005643514
312	1.002343283
313	0.9996308431
314	0.998224253
315	0.9977194803
316	0.9947324694
317	0.9917587151
318	0.9904965212
319	0.9869569948
320	0.9846986568
321	0.9811004378
322	0.9805448694
323	0.9784789973
324	0.9752473698
325	0.97283838
326	0.9704749717
327	0.9670954885
328	0.9647027491
329	0.9644225457
330	0.9624917143
331	0.9613250285
332	0.9590660326
333	0.9553371398
334	0.9544483642
335	0.952617223
336	0.9520831176
337	0.950112263
338	0.9473021231
339	0.9450953137
340	0.941558668
341	0.9391857481
342	0.9370957852
343	0.9368270291
344	0.9323737982
345	0.9304796216
346	0.9301273636
347	0.9278175972
348	0.923993846
349	0.922525879
350	0.9180384432
351	0.9176537621
352	0.9174334421
353	0.9171109231
354	0.9154220019
355	0.912387525
356	0.9100909545
357	0.9068047641
358	0.9027479581
359	0.900660288
360	0.9004697456
361	0.8985632671
362	0.898062049
363	0.8958712006
364	0.8945846928
365	0.8925411408
366	0.8916574365
367	0.8878112552
368	0.8847237638
369	0.8829255268
370	0.8816883279
371	0.8815125381
372	0.8789303232
373	0.8776483849
374	0.8765793897
375	0.873856619
376	0.8719067199
377	0.8692798209
378	0.8670463579
379	0.8638585735
380	0.8610475842
381	0.8606590284
382	0.860306911
383	0.8585766466
384	0.857237148
385	0.8565954788
386	0.8551975337
387	0.8529973138
388	0.8518585523
389	0.8516153186
390	0.8494736553
391	0.8468281225
392	0.8452766586
393	0.8449325023
394	0.8430300643
395	0.841165745
396	0.838325309
397	0.8360970422
398	0.8337986958
399	0.8316036124
400	0.8276662071
401	0.8260217923
402	0.8256477648
403	0.8251756825
404	0.8237010522
405	0.8215762036
406	0.818747007
407	0.8162282202
408	0.8148066465
409	0.8118622271
410	0.8114061967
411	0.810223923
412	0.8081979216
413	0.8080419388
414	0.8061386761
415	0.8052519756
416	0.8050762753
417	0.8044834473
418	0.8035149687
419	0.8017020993
420	0.7984831481
421	0.7975665356
422	0.7962079614
423	0.7946835346
424	0.792766409
425	0.7902352028
426	0.7900870778
427	0.7887206
428	0.7868495146
429	0.7862793321
430	0.7856232416
431	0.7853657175
432	0.7852285053
433	0.7847408428
434	0.7836028318
435	0.782031983
436	0.781790441
437	0.780139223
438	0.7798459221
439	0.7791198525
440	0.7779545141
441	0.7766892888
442	0.7754421615
443	0.773918407
444	0.7717977582
445	0.7701819534
446	0.7688560869
447	0.7667226625
448	0.7645700329
449	0.7635926752
450	0.7613617633
451	0.7589264513
452	0.7562427188
453	0.7531714349
454	0.7516510675
455	0.7496351398
456	0.7478161345
457	0.7458056537
458	0.7434537361
459	0.7422350557
460	0.7409516375
461	0.7385530172
462	0.7359862251
463	0.7358239952
464	0.7356731108
465	0.7348448007
466	0.7338788135
467	0.7331556155
468	0.731560226
469	0.7292606936
470	0.7285234066
471	0.7278112005
472	0.726807067
473	0.7254697129
474	0.7249242032
475	0.7238764715
476	0.7216635085
477	0.7204572563
478	0.7182344713
479	0.7176727391
480	0.7162172104
481	0.716070752
482	0.7139748809
483	0.7137514637
484	0.7116867896
485	0.7105714736
486	0.709550856
487	0.7079787833
488	0.7077989013
